#options: 638x478 fps=100/3 timebase=3/100 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=9 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:P dur:2 cpbdur:2 q:40.39 aq:41.21 tex:96748 mv:7042 misc:1226 imb:385 pmb:432 smb:383 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:40.39 aq:43.61 tex:34926 mv:3081 misc:1129 imb:108 pmb:407 smb:685 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:40.18 aq:40.72 tex:113110 mv:8354 misc:1256 imb:476 pmb:408 smb:316 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:40.25 aq:41.74 tex:60375 mv:4146 misc:1231 imb:188 pmb:484 smb:528 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:40.19 aq:41.20 tex:56014 mv:4137 misc:1257 imb:186 pmb:495 smb:519 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:40.10 aq:41.68 tex:71531 mv:4968 misc:1213 imb:222 pmb:454 smb:524 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:40.21 aq:42.38 tex:54153 mv:4015 misc:1232 imb:190 pmb:447 smb:563 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:40.33 aq:42.79 tex:55744 mv:4374 misc:1194 imb:193 pmb:418 smb:589 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:40.25 aq:41.82 tex:99658 mv:6896 misc:1214 imb:403 pmb:390 smb:407 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:40.38 aq:42.78 tex:49307 mv:4111 misc:1214 imb:192 pmb:459 smb:549 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:40.22 aq:41.54 tex:109680 mv:6998 misc:1194 imb:420 pmb:368 smb:412 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:40.40 aq:41.72 tex:51529 mv:3853 misc:1226 imb:192 pmb:425 smb:583 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:40.34 aq:41.67 tex:63943 mv:4407 misc:1218 imb:224 pmb:415 smb:561 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:40.26 aq:41.57 tex:58701 mv:4019 misc:1200 imb:192 pmb:441 smb:567 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:40.24 aq:42.03 tex:52510 mv:3857 misc:1209 imb:199 pmb:427 smb:574 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:40.15 aq:42.38 tex:60845 mv:4629 misc:1166 imb:211 pmb:395 smb:594 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:40.08 aq:39.73 tex:94109 mv:6588 misc:1191 imb:405 pmb:362 smb:433 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:40.17 aq:41.91 tex:53999 mv:3893 misc:1116 imb:180 pmb:407 smb:613 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:40.08 aq:40.70 tex:101700 mv:6442 misc:1178 imb:379 pmb:370 smb:451 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:40.22 aq:41.45 tex:58002 mv:4072 misc:1174 imb:202 pmb:474 smb:524 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:40.15 aq:41.09 tex:67757 mv:4537 misc:1162 imb:214 pmb:433 smb:553 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:40.12 aq:41.60 tex:51957 mv:3803 misc:1168 imb:170 pmb:449 smb:581 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:40.06 aq:40.99 tex:67118 mv:4437 misc:1133 imb:206 pmb:447 smb:547 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:40.00 aq:41.59 tex:61450 mv:4049 misc:1141 imb:189 pmb:453 smb:558 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:39.96 aq:40.84 tex:60587 mv:4082 misc:1179 imb:193 pmb:496 smb:511 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:40.02 aq:40.64 tex:73856 mv:4870 misc:1178 imb:198 pmb:490 smb:512 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:39.97 aq:41.46 tex:56655 mv:4090 misc:1151 imb:180 pmb:490 smb:530 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:40.05 aq:41.40 tex:71699 mv:4846 misc:1175 imb:233 pmb:460 smb:507 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:40.01 aq:41.76 tex:62267 mv:4104 misc:1213 imb:165 pmb:512 smb:523 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:39.99 aq:41.95 tex:69610 mv:4584 misc:1214 imb:227 pmb:498 smb:475 d:- ref:0 ;
