#options: 140x140 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:40 out:35 type:P dur:2 cpbdur:2 q:33.13 aq:33.05 tex:18285 mv:973 misc:110 imb:16 pmb:65 smb:0 d:t ref:0 ;
in:37 out:36 type:B dur:2 cpbdur:2 q:33.00 aq:34.63 tex:8834 mv:1140 misc:162 imb:3 pmb:67 smb:11 d:t ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:32.91 aq:37.11 tex:2236 mv:823 misc:173 imb:0 pmb:62 smb:19 d:t ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:32.95 aq:37.20 tex:2913 mv:613 misc:170 imb:1 pmb:62 smb:18 d:t ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:33.04 aq:37.42 tex:2835 mv:822 misc:175 imb:1 pmb:56 smb:24 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:33.08 aq:37.27 tex:1907 mv:627 misc:162 imb:0 pmb:64 smb:17 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:32.84 aq:32.79 tex:10991 mv:662 misc:131 imb:1 pmb:79 smb:1 d:t ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:32.98 aq:37.58 tex:969 mv:328 misc:167 imb:0 pmb:31 smb:50 d:t ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:32.59 aq:32.40 tex:10921 mv:605 misc:130 imb:0 pmb:79 smb:2 d:t ref:0 ;
in:45 out:44 type:P dur:2 cpbdur:2 q:32.49 aq:32.21 tex:12495 mv:658 misc:135 imb:2 pmb:78 smb:1 d:t ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:32.54 aq:37.60 tex:868 mv:433 misc:171 imb:0 pmb:35 smb:46 d:t ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:32.38 aq:32.07 tex:11563 mv:632 misc:109 imb:1 pmb:80 smb:0 d:t ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:32.50 aq:31.98 tex:13228 mv:708 misc:128 imb:1 pmb:80 smb:0 d:t ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:32.44 aq:37.00 tex:976 mv:444 misc:172 imb:0 pmb:34 smb:47 d:t ref:0 ;
in:51 out:49 type:P dur:2 cpbdur:2 q:32.41 aq:32.21 tex:13032 mv:783 misc:105 imb:4 pmb:77 smb:0 d:t ref:0 ;
in:49 out:50 type:B dur:2 cpbdur:2 q:32.47 aq:35.95 tex:1350 mv:620 misc:206 imb:0 pmb:55 smb:26 d:t ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:32.44 aq:36.52 tex:1768 mv:732 misc:172 imb:0 pmb:59 smb:22 d:- ref:0 ;
in:54 out:52 type:P dur:2 cpbdur:2 q:32.38 aq:32.52 tex:15105 mv:893 misc:106 imb:7 pmb:74 smb:0 d:t ref:0 ;
in:52 out:53 type:B dur:2 cpbdur:2 q:32.40 aq:35.60 tex:3824 mv:856 misc:184 imb:0 pmb:64 smb:17 d:t ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:32.39 aq:37.00 tex:1414 mv:618 misc:184 imb:0 pmb:46 smb:35 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:32.21 aq:32.10 tex:11246 mv:653 misc:125 imb:0 pmb:79 smb:2 d:t ref:0 ;
in:58 out:56 type:P dur:2 cpbdur:2 q:32.41 aq:32.85 tex:13548 mv:885 misc:111 imb:6 pmb:75 smb:0 d:t ref:0 ;
in:56 out:57 type:B dur:2 cpbdur:2 q:32.27 aq:35.16 tex:2508 mv:601 misc:195 imb:1 pmb:45 smb:35 d:t ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:32.34 aq:36.93 tex:1478 mv:708 misc:174 imb:0 pmb:54 smb:27 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:32.26 aq:32.22 tex:12719 mv:740 misc:117 imb:2 pmb:79 smb:0 d:t ref:0 ;
in:62 out:60 type:P dur:2 cpbdur:2 q:32.43 aq:32.32 tex:15823 mv:826 misc:111 imb:11 pmb:70 smb:0 d:t ref:0 ;
in:60 out:61 type:B dur:2 cpbdur:2 q:32.32 aq:35.15 tex:4352 mv:605 misc:187 imb:0 pmb:52 smb:29 d:t ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:32.37 aq:36.41 tex:1535 mv:665 misc:168 imb:0 pmb:65 smb:16 d:- ref:0 ;
in:67 out:63 type:P dur:2 cpbdur:2 q:32.29 aq:32.46 tex:18323 mv:946 misc:115 imb:14 pmb:67 smb:0 d:t ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:32.38 aq:34.04 tex:8871 mv:1229 misc:164 imb:2 pmb:74 smb:5 d:t ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:32.40 aq:36.93 tex:2826 mv:585 misc:189 imb:0 pmb:49 smb:32 d:t ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:32.35 aq:36.98 tex:1079 mv:536 misc:177 imb:0 pmb:57 smb:24 d:- ref:0 ;
